Property Address,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Submarket Cluster,City,State,Zip,County Name,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,Floodplain Area,Number Of Stories,Latitude,Longitude
225 Broadway,520951,166897,$25.00 - 275.00,,New York,City Hall,Downtown,New York,NY,10007,Manhattan,N,,,72.20,1927,,16500,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,44,40.711964,-74.008556
601 W 26th St,2300000,975959,$43.39 - 53.03 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10001-1101,Manhattan,N,8/1/2011,"920,000,000",64.83,1931,2003,122105,0.04,Multi,09/05/2007,3604970069F,360497,0069F,100-year Floodplain,20,40.75161,-74.006649
251 W 30th St,136364,48502,$38.13 - 46.61 (Est.),Loft/Creative Space,New York,Penn Plaza/Garment,Midtown,New York,NY,10001-2810,Manhattan,N,4/29/2016,"50,450,000",69.72,1927,2017,6000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,16,40.7494023,-73.994274
35 W 45th St,67567,13563,$38.33 - 46.84 (Est.),Office Building,New York,Times Square,Midtown,New York,NY,10036-4903,Manhattan,N,,,79.93,1920,,5631,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,12,40.7562569,-73.9809923
1001 6th Ave,241001,66992,$56.00,Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10018,Manhattan,N,,,75.12,1926,,9640,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,25,40.7520849,-73.9865858
547 W 27th St,97200,28590,$49.50 - 101.50,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-5511,Manhattan,N,3/8/1999,"7,750,000",72.13,1899,2004,16200,,Multi,09/05/2007,3604970069F,360497,0069F,500-year Floodplain,6,40.751413,-74.004344
39 Broadway,447400,119677,$38.00 - 45.00,,New York,World Trade Center,Downtown,New York,NY,10006-3003,Manhattan,N,6/24/1998,"48,500,000",76.61,1928,2005,8700,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,37,40.7064032,-74.0134038
69 Mercer St,14091,17350,$54.89 - 133.20,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10012-4440,Manhattan,N,,,12.36,1890,1998,2818,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,5,40.7226583,-74.0006116
200 Park Ave S,285000,108290,$61.16 - 74.75 (Est.),Office Building,New York,Gramercy Park,Midtown South,New York,NY,10003-1503,Manhattan,N,,,74.92,1903,1979,17849,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,17,40.7369293,-73.9891593
41 E 11th St,191223,220000,$40.00,Loft/Creative Space,New York,Greenwich Village,Midtown South,New York,NY,10003,Manhattan,N,,,79.08,1890,,17384,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,11,40.7333765,-73.9929104
145 E 32nd St,121504,31000,$35.00 - 55.00,Medical,New York,Murray Hill,Midtown,New York,NY,10016-6055,Manhattan,N,6/21/2005,"33,200,000",74.49,1927,1990,6772,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,14,40.745065,-73.979974
333 Hudson St,111290,21915,$55.00 - 65.00,Loft/Creative Space,New York,Hudson Square,Midtown South,New York,NY,10013-1006,Manhattan,N,8/13/1998,"4,100,000",84.54,1925,2007,10129,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,10,40.727131,-74.007676
110 E 107th St,92000,15000,$42.50,Medical,New York,Upper East Side,Uptown,New York,NY,10029-3904,Manhattan,N,,,83.70,1947,,23000,,Multi,09/05/2007,3604970087F,360497,0087F,500-year Floodplain,4,40.7931705,-73.9469876
501 Fifth Ave,152361,28712,$45.00 - 62.00,,New York,Grand Central,Midtown,New York,NY,10017-6107,Manhattan,N,,,83.52,1916,,6300,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,23,40.7532078,-73.9807713
274 Madison Ave,91212,20462,$44.00 - 58.00,,New York,Grand Central,Midtown,New York,NY,10016-0701,Manhattan,N,,,83.20,1927,,4400,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,19,40.7513672,-73.9806463
235 E 38th St,10000,7583,$38.00 - 44.00,Medical,New York,Grand Central,Midtown,New York,NY,10016,Manhattan,N,,,24.17,1999,,10000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,1,40.74795,-73.974707
70-74 Lafayette St,18000,4000,$60.00,,New York,City Hall,Downtown,New York,NY,10013-4000,Manhattan,N,,,77.78,1920,,2000,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,7,40.7169481,-74.0021214
390 5th Ave,138066,32335,$35.00 - 38.00,Loft/Creative Space,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-8104,Manhattan,N,,,77.52,1903,2004,15000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,9,40.7497281,-73.9841339
589 11th Ave,17820,18020,$40.00,Loft/Creative Space,New York,Times Square,Midtown,New York,NY,10036-2101,Manhattan,N,11/3/2023,"7,400,000",0.00,2020,,2500,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.762376,-73.997595
30 W 24th St,71037,11250,$39.00 - 49.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10010-3207,Manhattan,N,,,84.16,1916,,5624,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.742879,-73.9911305
109-111 W 24th St,46545,25930,$55.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10011-1901,Manhattan,Y,10/21/2021,"16,250,000",44.29,1902,,6649,0.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.744025,-73.992722
11 W 25th St,30468,7500,$41.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10010-2001,Manhattan,N,,,83.59,1913,,2064,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.7435128,-73.9896552
159 W 25th St,102500,61500,$35.00,,New York,Chelsea,Midtown South,New York,NY,10001-7203,Manhattan,N,,,40.00,1928,,7500,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.745377,-73.993959
555 W 25th St,52955,21733,$45.00 - 64.75,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-5542,Manhattan,N,3/28/2019,"43,300,000",67.83,1926,1985,6809,0.00,Multi,09/05/2007,3604970069F,360497,0069F,100-year Floodplain,6,40.750116,-74.0054
28 W 27th St,74550,9775,$29.00 - 39.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-6906,Manhattan,Y,,,82.09,1901,,6000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.744813,-73.989871
242 W 27th St,16500,8800,$45.00 - 54.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-5926,Manhattan,Y,6/29/2016,"13,768,000",46.67,1927,,2357,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.7472979,-73.9959208
37 E 28th St,45001,11600,$46.00 - 48.00,,New York,Gramercy Park,Midtown South,New York,NY,10016-7919,Manhattan,N,9/22/1999,"5,525,500",78.22,1909,2012,3920,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,10,40.7437834,-73.9846226
214 W 29th St,186051,59254,$40.00 - 55.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-5203,Manhattan,N,,,68.15,1929,2014,8125,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,17,40.7480919,-73.9939849
224 W 29th St,56261,34851,$42.00 - 49.00,,New York,Chelsea,Midtown South,New York,NY,10001-5204,Manhattan,N,,,38.05,1926,,3900,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,15,40.7482038,-73.994258
242 W 30th St,112500,23810,$44.00,Office Building,New York,Chelsea,Midtown South,New York,NY,10001-4903,Manhattan,N,,,78.84,1927,,6780,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,14,40.7491639,-73.9944977
135 W 36th St,115000,27499,$76.50,,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-6900,Manhattan,N,12/16/2002,"18,150,000",76.09,1925,2015,4792,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,23,40.75192,-73.988381
255 W 36th St,127930,21081,$33.00 - 37.00,,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-7555,Manhattan,N,1/15/2004,"14,400,000",83.52,1923,,8275,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,15,40.753244,-73.99143
39-43 W 37th St,109750,37776,$29.00 - 38.00,Medical,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-6217,Manhattan,N,,,65.58,1930,,6000,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,18,40.751426,-73.9852276
40 W 37th St,55000,19469,$35.00 - 80.00,,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-7489,Manhattan,N,1/26/1996,"2,563,500",80.13,1923,,4231,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,13,40.7509235,-73.9852628
44 W 37th St,58600,11861,$58.00,,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-7485,Manhattan,N,10/26/2021,"49,000,000",79.76,2020,,3544,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,15,40.7510587,-73.9853772
203-205 W 38th St,27300,22500,$35.00 - 86.40,Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10018,Manhattan,N,,,17.58,2021,,5460,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,5,40.7537654,-73.9889981
6 E 39th St,117000,17700,$42.00,,New York,Grand Central,Midtown,New York,NY,10016-0112,Manhattan,N,6/1/2006,"26,500,000",84.87,1920,2008,8276,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,14,40.7509026,-73.9819269
30 E 40th St,69446,12962,$36.75 - 66.00,Medical,New York,Grand Central,Midtown,New York,NY,10016-1201,Manhattan,N,8/6/2015,"4,650,000",82.49,1927,,5578,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,13,40.7510272,-73.9796598
104-110 E 40th St,99368,10938,$30.00 - 38.00,Medical,New York,Grand Central,Midtown,New York,NY,10016-1801,Manhattan,Y,7/28/2008,"35,000,000",75.25,1916,2009,11000,10.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,9,40.750427,-73.9780146
18 E 41st St,108627,31292,$44.00 - 90.00,,New York,Grand Central,Midtown,New York,NY,10017-6222,Manhattan,N,8/11/1998,"13,625,000",74.97,1913,1986,4425,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,21,40.7522031,-73.9804859
144 E 44th St,50000,16455,$52.00 - 75.00,,New York,Grand Central,Midtown,New York,NY,10017,Manhattan,N,,,80.09,1959,,6969,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,8,40.7523343,-73.9744788
450 W 44th St,5000,1000,$78.00,Office/Residential,New York,Times Square,Midtown,New York,NY,10036,Manhattan,Y,,,0.00,1899,2023,1250,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,4,40.7604131,-73.9937804
21 W 45th St,13200,3000,$60.00 - 66.67,,New York,Times Square,Midtown,New York,NY,10036,Manhattan,N,,,77.27,1900,,2500,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.7560779,-73.9804021
6 W 48th St,60500,49500,$48.00,Office Building,New York,Plaza District,Midtown,New York,NY,10036-1802,Manhattan,N,11/6/2023,"34,700,000",18.18,1919,1989,4654,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,13,40.7573812,-73.9788782
64 W 48th St,130000,34635,$65.45,Office Building,New York,Plaza District,Midtown,New York,NY,10036-1708,Manhattan,N,3/5/2008,"54,500,000",74.20,1926,,6192,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,17,40.7581987,-73.9808791
